cpf,v,nome,compras
"96881134258",1,"Jenna Evans",10000
"45205854902",0,"Raees Kirk",100000
"77922198795",1,"Lucie Chase",1000
"28705385881",1,"Wilson Cruz",100000
"55087632603",0,"Micheal Villa",1000
"67927715120",0,"Kian Calderon",100000
"63757481780",1,"Dennis Mathis",10000
"93117882601",0,"Sallie Terrell",100000
"95434375564",1,"Connie Macias",1000
"72338605136",1,"Ben Avila",1000
"67561829000134",1,"Chiara Vincent",10000
"74947023422",1,"Elisa Weeks",100000
"51521275000101",1,"Tyler Baxter",1000000
"32786106797",0,"Gethin Waller",100
